City,CloseDate,EntityIDRoundID,IndustryCode,Industry Group,Industry Segment,Metropolitan Statistical Area,PrimaryRegion,RoundBusStat,RoundClassDescr,State,Subregion,Deals,Number of Deals,Raised
Calabasas,5/23/2011,6.1397E+11,Movie/Music Producers and Distributors,Consumer Services,Media and Content,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Second Round,CA,Los Angeles Metro,1,1,10.8
Arlington,5/23/2011,3.59191E+11,Solar Energy,Energy and Utilities,Renewable Energy,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,Second Round,VA,Potomac,1,1,
San Carlos,5/23/2011,3.53881E+11,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,First Round,CA,San Francisco Bay Area,1,1,25.52
Cambridge,5/23/2011,1.12848E+11,Drug Development Technologies,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Later Stage,MA,Boston Metro,1,1,15
Reading,5/23/2011,6.142E+11,Consumer Electronics,Information Technology,Electronics and Computer Hardware,"Reading, PA",Mid-Atlantic,Generating Revenue,First Round,PA,,1,1,0.05
Hallandale Beach,5/23/2011,6.07627E+11,Business Applications Software,Information Technology,Software,"Miami-Fort Lauderdale-Pompano Beach, FL",South East,Generating Revenue,Later Stage,FL,,1,1,4.47
Menlo Park,5/24/2011,6.10129E+11,Surgical Devices,Healthcare,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,First Round,CA,San Francisco Bay Area,1,1,0.5
Marlborough,5/24/2011,97318760222,Drug Development Technologies,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Later Stage,MA,Boston Metro,1,1,0.91
Newark,5/24/2011,6.14114E+11,Fiberoptic Equipment,Information Technology,Communications and Networking,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Second Round,CA,San Francisco Bay Area,1,1,5.33
Winter Park,5/25/2011,6.1488E+11,Lending,Business and Financial Services,Financial Institutions and Services,"Orlando, FL",South East,Generating Revenue,First Round,FL,,1,1,5
Petaluma,5/25/2011,75375760165,Environmental Engineering/Services,Business and Financial Services,Construction and Civil Engineering,"Santa Rosa-Petaluma, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,0.72
Denver,5/25/2011,3.58457E+11,Business to Business Marketplaces,Business and Financial Services,Business Support Services,"Denver-Aurora-Broomfield, CO",Mountain,Generating Revenue,Second Round,CO,,1,1,14
San Francisco,5/25/2011,2.30199E+11,Travel Arrangement/Tourism,Consumer Services,Travel and Leisure,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Individual,CA,San Francisco Bay Area,1,1,
San Francisco,5/25/2011,72723759668,General Media/Content,Consumer Services,Media and Content,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,6
Cambridge,5/25/2011,1.1265E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Pre-Clinical Trials,Corporate,MA,Boston Metro,1,1,20
Seattle,5/25/2011,6.13932E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product Development,First Round,WA,Seattle Metro,1,1,2.1
Basking Ridge,5/25/2011,92830761225,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Clinical Trials - Phase 2,Later Stage,NJ,New York Metro,1,1,11.6
White Plains,5/25/2011,89578759843,Business Applications Software,Information Technology,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,First Round,NY,New York Metro,1,1,6.5
Campbell,5/25/2011,6.13922E+11,Systems Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,First Round,CA,San Francisco Bay Area,1,1,7.6
Quakertown,5/25/2011,6.13931E+11,Automated Manufacturing Equipment,Information Technology,Electronics and Computer Hardware,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,Later Stage,PA,,1,1,0.03
Mountain View,5/25/2011,3.56774E+11,Communications Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,20
Berkeley,5/25/2011,1.12123E+11,Power Supplies,Information Technology,Electronics and Computer Hardware,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Later Stage,CA,San Francisco Bay Area,1,1,15.06
Plano,5/26/2011,6.14055E+11,Environmental Engineering/Services,Business and Financial Services,Construction and Civil Engineering,"Dallas-Fort Worth-Arlington, TX",South Central,Generating Revenue,First Round,TX,Dallas-Fort Worth,1,1,0.84
Chevy Chase,5/26/2011,3.56817E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,Later Stage,MD,Potomac,1,1,1
San Francisco,5/26/2011,2.28987E+11,Business to Business Marketplaces,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,CA,San Francisco Bay Area,1,1,1.2
Walnut Creek,5/26/2011,82081761673,Procurement/Supply Chain,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Profitable,Second Round,CA,San Francisco Bay Area,1,1,
Santa Rosa,5/26/2011,6.14306E+11,Non-Durable Household Goods,Consumer Goods,Household and Office Goods,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,First Round,CA,San Francisco Bay Area,1,1,
Dover,5/26/2011,6.13946E+11,General Media/Content,Consumer Services,Media and Content,"Dover, DE",Mid-Atlantic,Generating Revenue,First Round,DE,,1,1,1.5
Redwood City,5/26/2011,1.10529E+11,Entertainment,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,85
Coral Gables,5/26/2011,58545760138,General Media/Content,Consumer Services,Media and Content,"Miami-Fort Lauderdale-Pompano Beach, FL",South East,Generating Revenue,Later Stage,FL,,1,1,15
Medford,5/26/2011,54704760261,Biofuels/Biomass,Energy and Utilities,Renewable Energy,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Second Round,MA,Boston Metro,1,1,2
Hayward,5/26/2011,2.28756E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,43.27
Houston,5/26/2011,76659760378,Business Applications Software,Information Technology,Software,"Houston-Baytown-Sugar Land, TX",South Central,Generating Revenue,Later Stage,TX,,1,1,5.08
Richardson,5/26/2011,82327759805,Multimedia/Streaming Software,Information Technology,Software,"Dallas-Fort Worth-Arlington, TX",South Central,Generating Revenue,Later Stage,TX,Dallas-Fort Worth,1,1,40
San Francisco,5/26/2011,67914759689,Multimedia/Streaming Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Restart,CA,San Francisco Bay Area,1,1,1
San Francisco,5/26/2011,3.53742E+11,Business Applications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,CA,San Francisco Bay Area,1,1,5
Mountain View,5/26/2011,6.09535E+11,Data Storage,Information Technology,Electronics and Computer Hardware,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product In Beta Test,Second Round,CA,San Francisco Bay Area,1,1,28.44
San Francisco,5/27/2011,6.14179E+11,Payment/Transactional Processing,Business and Financial Services,Financial Institutions and Services,"San Francisco-Oakland-Fremont, CA",Northern California,Profitable,Later Stage,CA,San Francisco Bay Area,1,1,50
Beaverton,5/27/2011,6.10266E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"Portland-Vancouver-Beaverton, OR-WA",Pacific Northwest,Generating Revenue,Second Round,OR,,1,1,10
Seattle,5/27/2011,6.09105E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,Second Round,WA,Seattle Metro,1,1,3.5
Los Angeles,5/27/2011,6.13951E+11,Online Communities,Consumer Services,Consumer Information Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Product Development,First Round,CA,Los Angeles Metro,1,1,1
New York,5/27/2011,71870760413,Movie/Music Producers and Distributors,Consumer Services,Media and Content,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,NY,New York Metro,1,1,6
New York,5/27/2011,6.05144E+11,Online Communities,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Second Round,NY,New York Metro,1,1,19
San Francisco,5/27/2011,6.13936E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,CA,San Francisco Bay Area,1,1,7
Sunnyvale,5/27/2011,6.1422E+11,Search Portals,Consumer Services,Consumer Information Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product In Beta Test,Second Round,CA,San Francisco Bay Area,1,1,10.5
Los Angeles,5/27/2011,6.11492E+11,Specialty Retailers,Consumer Services,Retailers,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Second Round,CA,Los Angeles Metro,1,1,0.45
New York,5/27/2011,6.14104E+11,Entertainment,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Seed Round,NY,New York Metro,1,1,
Cambridge,5/27/2011,6.15054E+11,Online Communities,Consumer Services,Consumer Information Services,"Boston-Cambridge-Quincy, MA-NH",New England,Startup,Seed Round,MA,Boston Metro,1,1,1.5
Baton Rouge,5/27/2011,69454759942,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Baton Rouge, LA",South Central,Clinical Trials - Phase 1,Later Stage,LA,,1,1,6
Grand Prairie,5/27/2011,4.70433E+11,Pharmaceuticals,Healthcare,Biopharmaceuticals,"Dallas-Fort Worth-Arlington, TX",South Central,Generating Revenue,Later Stage,TX,Dallas-Fort Worth,1,1,13.55
Pittsburgh,5/27/2011,2.28671E+11,Filters/Membranes,Industrial Goods and Materials,Materials and Chemicals,"Pittsburgh, PA",Mid-Atlantic,Generating Revenue,First Round,PA,,1,1,0.73
Carmel,5/27/2011,6.1398E+11,Communications Software,Information Technology,Software,"Indianapolis-Carmel, IN",Midwest East,Generating Revenue,Individual,IN,,1,1,2.5
Boulder,5/27/2011,92367760113,Business Applications Software,Information Technology,Software,"Boulder, CO",Mountain,Generating Revenue,Later Stage,CO,,1,1,20
Fremont,5/27/2011,1.82436E+11,Electronic Components/Devices,Information Technology,Electronics and Computer Hardware,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,3.5
Santa Clara,5/27/2011,96020760257,General Purpose Integrated Circuits,Information Technology,Semiconductors,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,11
San Francisco,5/27/2011,3.56395E+11,Network/Systems Management Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,CA,San Francisco Bay Area,1,1,1.25
Boston,5/30/2011,6.13949E+11,Recreational/Home Software,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,First Round,MA,Boston Metro,1,1,0.5
New York,5/31/2011,6.14021E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,First Round,NY,New York Metro,1,1,6
Boston,5/31/2011,6.14023E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,First Round,MA,Boston Metro,1,1,5.7
Fall River,5/31/2011,6.13953E+11,Surgical Devices,Healthcare,Medical Devices and Equipment,"Providence-New Bedford-Fall River, RI-MA",New England,Product Development,First Round,MA,,1,1,2.7
Blacksburg,5/31/2011,77694759167,Drug Development Technologies,Healthcare,Biopharmaceuticals,"Blacksburg-Christiansburg-Radford, VA",Mid-Atlantic,Generating Revenue,Later Stage,VA,,1,1,100
Morgan Hill,5/31/2011,56385760238,Application-Specific Integrated Circuits,Information Technology,Semiconductors,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,2
San Francisco,5/31/2011,6.11769E+11,Recreational/Home Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Product In Beta Test,Later Stage,CA,San Francisco Bay Area,1,1,4.5
Seattle,5/31/2011,96166760522,Communications Software,Information Technology,Software,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,Later Stage,WA,Seattle Metro,1,1,0.5
Austin,5/31/2011,75928760415,Electronic Components/Devices,Information Technology,Electronics and Computer Hardware,"Austin-Round Rock, TX",South Central,Generating Revenue,Later Stage,TX,Austin Metro,1,1,13.52
San Ramon,6/1/2011,6.14234E+11,Procurement/Supply Chain,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,First Round,CA,San Francisco Bay Area,1,1,
Los Angeles,6/1/2011,6.14031E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,First Round,CA,Los Angeles Metro,1,1,
New York,6/1/2011,2.28754E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,NY,New York Metro,1,1,
Menlo Park,6/1/2011,6.14029E+11,Customer Relationship Management,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Seed Round,CA,San Francisco Bay Area,1,1,0.85
Chicago,6/1/2011,6.14072E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Product Development,First Round,IL,Chicago Metro,1,1,0.7
Palo Alto,6/1/2011,6.11525E+11,Entertainment,Consumer Services,Consumer Information Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,First Round,CA,San Francisco Bay Area,1,1,10.05
Salt Lake City,6/1/2011,3.5795E+11,Online Communities,Consumer Services,Consumer Information Services,"Salt Lake City, UT",Mountain,Generating Revenue,Later Stage,UT,,1,1,11
Cambridge,6/1/2011,1.1265E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Pre-Clinical Trials,Later Stage,MA,Boston Metro,1,1,50.62
Malta,6/1/2011,56356760466,Materials and Chemicals: Other,Industrial Goods and Materials,Materials and Chemicals,"Albany-Schenectady-Troy, NY",Mid-Atlantic,Generating Revenue,Later Stage,NY,,1,1,2.06
San Jose,6/1/2011,95988760914,Integrated Circuit Production,Information Technology,Semiconductors,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,2.6
San Jose,6/1/2011,1.0565E+11,Wired Communications Equipment,Information Technology,Communications and Networking,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Restart,CA,San Francisco Bay Area,1,1,23
Conshohocken,6/1/2011,6.14576E+11,Business Applications Software,Information Technology,Software,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Product Development,Second Round,PA,,1,1,0.15
Boston,6/2/2011,6.14174E+11,Restaurants/Food Service,Consumer Services,Travel and Leisure,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Later Stage,MA,Boston Metro,1,1,
Venice,6/2/2011,6.10174E+11,Entertainment,Consumer Services,Consumer Information Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Second Round,CA,Los Angeles Metro,1,1,6.95
Burbank,6/2/2011,1.10485E+11,Solar Energy,Energy and Utilities,Renewable Energy,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Corporate,CA,Los Angeles Metro,1,1,
Goleta,6/2/2011,6.05902E+11,Renewable Energy: Other,Energy and Utilities,Renewable Energy,"Santa Barbara-Santa Maria-Goleta, CA",Southern California,Generating Revenue,Later Stage,CA,,1,1,25
Columbus,6/2/2011,6.12555E+11,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"Columbus, OH",Midwest East,Clinical Trials - Phase 2,First Round,OH,,1,1,
New York,6/2/2011,6.1136E+11,Graphics/Publishing Software,Information Technology,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product In Beta Test,First Round,NY,New York Metro,1,1,5
New Haven,6/2/2011,6.12031E+11,Database Software,Information Technology,Software,"Hartford-West Hartford-East Hartford, CT",New England,Product Development,First Round,CT,,1,1,
Palo Alto,6/2/2011,6.14118E+11,Educational/Training Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,4
New York,6/3/2011,6.14102E+11,Financial Data/Information,Business and Financial Services,Financial Institutions and Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,First Round,NY,New York Metro,1,1,
San Francisco,6/3/2011,91493760253,Business to Business Marketplaces,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,17.2
New York,6/3/2011,3.53603E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Second Round,NY,New York Metro,1,1,2.8
Palo Alto,6/3/2011,6.14147E+11,Payment/Transactional Processing,Business and Financial Services,Financial Institutions and Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product In Beta Test,Seed Round,CA,San Francisco Bay Area,1,1,0.7
Pasadena,6/3/2011,6.053E+11,Online Communities,Consumer Services,Consumer Information Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Later Stage,CA,Los Angeles Metro,1,1,5.6
San Francisco,6/3/2011,6.14277E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Seed Round,CA,San Francisco Bay Area,1,1,0.75
Yonkers,6/3/2011,57506760013,Drug Development Technologies,Healthcare,Biopharmaceuticals,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,NY,New York Metro,1,1,8
San Diego,6/3/2011,66052761474,Diagnostic Imaging Equipment,Healthcare,Medical Devices and Equipment,"San Diego-Carlsbad-San Marcos, CA",Southern California,Generating Revenue,Later Stage,CA,San Diego Metro,1,1,15
Durham,6/3/2011,6.1441E+11,Recreational/Home Software,Information Technology,Software,"Durham-Chapel Hill, NC",South East,Generating Revenue,First Round,NC,,1,1,1.43
Norwalk,6/3/2011,1.10385E+11,Business Applications Software,Information Technology,Software,"Bridgeport-Stamford-Norwalk, CT",Mid-Atlantic,Generating Revenue,Later Stage,CT,New York Metro,1,1,
New York,6/5/2011,6.14152E+11,Online Communities,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Startup,Seed Round,NY,New York Metro,1,1,1
Austin,6/6/2011,6.14144E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"Austin-Round Rock, TX",South Central,Generating Revenue,First Round,TX,Austin Metro,1,1,1
New York,6/6/2011,6.14214E+11,IT Media/Content,Consumer Services,Media and Content,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Second Round,NY,New York Metro,1,1,
Cambridge,6/6/2011,6.08541E+11,Search Portals,Consumer Services,Consumer Information Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Second Round,MA,Boston Metro,1,1,1.6
Scottsdale,6/6/2011,92846760017,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Phoenix-Mesa-Scottsdale, AZ",Mountain,Profitable,Later Stage,AZ,,1,1,5.2
South San Francisco,6/6/2011,1.14153E+11,Diagnostic Equipment (Not Imaging),Healthcare,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Later Stage,CA,San Francisco Bay Area,1,1,31.02
Charlottesville,6/6/2011,3.57837E+11,Clinical Decision Support,Healthcare,Medical Software and Information Services,"Charlottesville, VA",Mid-Atlantic,Generating Revenue,Second Round,VA,,1,1,5.5
Cincinnati,6/6/2011,6.1411E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Cincinnati-Middletown, OH-KY-IN",Midwest East,Product Development,Seed Round,OH,,1,1,0.5
Chelmsford,6/6/2011,3.56537E+11,Plastic Fabrications,Industrial Goods and Materials,Materials and Chemicals,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Second Round,MA,Boston Metro,1,1,15.7
Reston,6/6/2011,69049760633,Communications Software,Information Technology,Software,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Profitable,Later Stage,VA,Potomac,1,1,5.43
Milpitas,6/6/2011,56498760078,Application-Specific Integrated Circuits,Information Technology,Semiconductors,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,21.4
Palo Alto,6/6/2011,6.09798E+11,Network/Systems Management Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,20
Franklin,6/6/2011,65502760128,Wired Communications Equipment,Information Technology,Communications and Networking,"Nashville-Davidson-Murfreesboro, TN",South East,Profitable,Later Stage,TN,,1,1,
Durham,6/6/2011,6.1479E+11,Business Applications Software,Information Technology,Software,"Durham-Chapel Hill, NC",South East,Startup,Seed Round,NC,,1,1,0.35
Milpitas,6/7/2011,6.14339E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,First Round,CA,San Francisco Bay Area,1,1,0.75
New York,6/7/2011,83825760927,Project/Document Collaboration,Business and Financial Services,Business Support Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Profitable,Later Stage,NY,New York Metro,1,1,10.72
Burlingame,6/7/2011,6.05346E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,CA,San Francisco Bay Area,1,1,13
Milpitas,6/7/2011,3.54527E+11,Business Support Services: Other,Business and Financial Services,Business Support Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Second Round,CA,San Francisco Bay Area,1,1,15
San Jose,6/7/2011,60674760328,Entertainment,Consumer Services,Consumer Information Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,6.5
New York,6/7/2011,6.06474E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product In Beta Test,Second Round,NY,New York Metro,1,1,1.55
San Rafael,6/7/2011,99847760202,Entertainment,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,CA,San Francisco Bay Area,1,1,7
Park City,6/7/2011,6.14142E+11,Online Communities,Consumer Services,Consumer Information Services,"Salt Lake City, UT",Mountain,Product Development,Seed Round,UT,,1,1,1.25
Denver,6/7/2011,6.14403E+11,Natural Gas,Energy and Utilities,Non-Renewable Energy,"Denver-Aurora-Broomfield, CO",Mountain,Generating Revenue,First Round,CO,,1,1,
Wilmington,6/7/2011,80832760814,Fuel Cells,Energy and Utilities,Renewable Energy,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Later Stage,MA,Boston Metro,1,1,21
Middleton,6/7/2011,6.14665E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Madison, WI",Midwest East,Product Development,First Round,WI,,1,1,11
San Francisco,6/7/2011,6.14119E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,First Round,CA,San Francisco Bay Area,1,1,9.2
Irving,6/7/2011,6.14182E+11,Healthcare Administration Software,Healthcare,Medical Software and Information Services,"Dallas-Fort Worth-Arlington, TX",South Central,Generating Revenue,First Round,TX,Dallas-Fort Worth,1,1,
Irvine,6/7/2011,6.14139E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Clinical Trials - Phase 1,First Round,CA,Orange County,1,1,
Glendale,6/7/2011,6.15047E+11,Biopharmaceuticals: TBA,Healthcare,Biopharmaceuticals,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Startup,First Round,CA,Los Angeles Metro,1,1,
Menlo Park,6/7/2011,65271760081,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Clinical Trials - Generic,Later Stage,CA,San Francisco Bay Area,1,1,12
Menlo Park,6/7/2011,97438760403,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Later Stage,CA,San Francisco Bay Area,1,1,32
Durham,6/7/2011,6.14135E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Durham-Chapel Hill, NC",South East,Generating Revenue,Seed Round,NC,,1,1,
Lansing,6/7/2011,1.83319E+11,Materials and Chemicals: Other,Industrial Goods and Materials,Materials and Chemicals,"Lansing-East Lansing, MI",Midwest East,Generating Revenue,Corporate,MI,,1,1,
Atlanta,6/7/2011,4.71121E+11,Business Applications Software,Information Technology,Software,"Atlanta-Sandy Springs-Marietta, GA",South East,Generating Revenue,First Round,GA,,1,1,17.24
Mountain View,6/7/2011,6.03378E+11,Memory Systems,Information Technology,Electronics and Computer Hardware,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,40
San Francisco,6/7/2011,76768760877,Business Applications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,2
San Jose,6/7/2011,61897760074,General Purpose Integrated Circuits,Information Technology,Semiconductors,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product In Beta Test,Later Stage,CA,San Francisco Bay Area,1,1,10
Baltimore,6/7/2011,6.03879E+11,Educational/Training Software,Information Technology,Software,"Baltimore-Towson, MD",Mid-Atlantic,Generating Revenue,Second Round,MD,Potomac,1,1,2.99
San Mateo,6/7/2011,1.12377E+11,Business Applications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,CA,San Francisco Bay Area,1,1,
Emeryville,6/8/2011,1.03447E+11,Customer Relationship Management,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Profitable,Later Stage,CA,San Francisco Bay Area,1,1,7
